# Time[fs]	ED=0.0012[aJ]	ED=0.0020[aJ]	ED=0.0028[aJ]	ED=0.0035[aJ]
1264.0	4.75464921705E-7	5.16319389331E-5	5.26142164215E-4	0.00632292265366
1266.0	4.8938894761E-7	5.3518572314E-5	5.39105857544E-4	0.00644084415692
1268.0	5.01958502413E-7	5.55972498423E-5	5.51711929601E-4	0.00658329495034
1270.0	5.1523214844E-7	5.75430875668E-5	5.69081722815E-4	0.00669549581184
1272.0	5.30028717606E-7	6.03736548719E-5	5.85560609848E-4	0.0068073882126
1274.0	5.42530972542E-7	6.31480825231E-5	6.04743610571E-4	0.00695094971419
1276.0	5.5981858346E-7	6.59750725673E-5	6.27819271241E-4	0.00708293309491
1278.0	5.74345663909E-7	6.8409157995E-5	6.48403516513E-4	0.00725523982556
1280.0	5.90983436292E-7	7.10688809947E-5	6.6656555982E-4	0.00745074869243
1282.0	6.03892688029E-7	7.36103153882E-5	6.8504681316E-4	0.00763592738905
1284.0	6.1365631145E-7	7.58005309672E-5	7.18428936926E-4	0.00789513176753
1286.0	6.25099082589E-7	7.8391716328E-5	7.52585775058E-4	0.00803796048103
1288.0	6.35504390518E-7	8.11017614234E-5	7.90960666974E-4	0.00817240582023
1290.0	6.46056563652E-7	8.49398719193E-5	8.33642917115E-4	0.00831572747182
1292.0	6.5740980362E-7	8.84695138696E-5	8.68237814836E-4	0.00847162708828
1294.0	6.69079651213E-7	9.21118806023E-5	8.96250695129E-4	0.00864261183751
1296.0	6.82820049751E-7	9.54888457555E-5	9.27305106265E-4	0.00880437750286
1298.0	7.01825322663E-7	9.87490894013E-5	9.64172654098E-4	0.00894199348052
1300.0	7.25292558708E-7	1.01473063287E-4	9.99661154165E-4	0.00907116710286
1302.0	7.46484493961E-7	1.0374344238E-4	0.00104487015527	0.00920545853186
1304.0	7.63928920122E-7	1.05513688116E-4	0.00108829345257	0.00934750753055
1306.0	7.79544449298E-7	1.07208353557E-4	0.00114087102038	0.00948858967994
1308.0	7.90596011586E-7	1.08971710162E-4	0.0011880538107	0.00968498162433
1310.0	8.03936225361E-7	1.11169442758E-4	0.00124944887977	0.00982358970204
1312.0	8.15995883408E-7	1.14086155398E-4	0.00129723922871	0.00996997117801
1314.0	8.34801221546E-7	1.16749699236E-4	0.00134173570556	0.010095184949
1316.0	8.53186639073E-7	1.1899429754E-4	0.0013885697137	0.0102542469187
1318.0	8.79658183089E-7	1.22052972993E-4	0.00143061974862	0.0103896917361
1320.0	8.9755587667E-7	1.24887895112E-4	0.00146752771546	0.0105552850007
1322.0	9.24795517557E-7	1.28456131886E-4	0.00149591655665	0.0107230758639
1324.0	9.61893300485E-7	1.32490872735E-4	0.00153614248178	0.010962941913
1326.0	9.95865362335E-7	1.35256650165E-4	0.0015749435151	0.0111304985256
1328.0	1.02542091253E-6	1.37761162786E-4	0.0016230097902	0.0113612538889
1330.0	1.05390720928E-6	1.3977752548E-4	0.00168169030937	0.0115554191905
1332.0	1.09278322819E-6	1.41653476704E-4	0.00175907647193	0.0116840778193
1334.0	1.13474612554E-6	1.4453362574E-4	0.00184161704995	0.0117864959998
1336.0	1.17864476698E-6	1.46833127185E-4	0.0019046325902	0.0119359675539
1338.0	1.27430710619E-6	1.49413613447E-4	0.00198820175552	0.0121380289879
1340.0	1.36468752097E-6	1.53157917199E-4	0.00204856590302	0.0123468982548
1342.0	1.42689933172E-6	1.55828376593E-4	0.00210366385076	0.0125002588865
1344.0	1.4949891399E-6	1.58576439835E-4	0.00215331062859	0.0127223466423
1346.0	1.5610039802E-6	1.61573993528E-4	0.00221075500532	0.0128688503009
1348.0	1.61230421036E-6	1.64688804371E-4	0.00225862628275	0.0130417782084
1350.0	1.65003857336E-6	1.6749063528E-4	0.00231910955931	0.0132021115018
1352.0	1.68703677489E-6	1.70937353159E-4	0.00237256055695	0.0133213523275
1354.0	1.72818699729E-6	1.74537601094E-4	0.00243224543571	0.0134661803067
1356.0	1.77397102014E-6	1.78188921799E-4	0.00249427487093	0.0136214060782
1358.0	1.81898196974E-6	1.81920261175E-4	0.00255058197977	0.0137361168152
1360.0	1.87488195538E-6	1.8645948469E-4	0.00262204687736	0.0139034142136
1362.0	2.00621235469E-6	1.93406664128E-4	0.00267372311889	0.014017350109
1364.0	2.13035966243E-6	1.99564218255E-4	0.00273581060894	0.014193017807
1366.0	2.18098388527E-6	2.04573964625E-4	0.00281468458531	0.0143691052544
1368.0	2.24384654302E-6	2.10153090863E-4	0.00287423423549	0.0145693347714
1370.0	2.29735035423E-6	2.14626988741E-4	0.00293343019582	0.01477887505
1372.0	2.34115949884E-6	2.18974036825E-4	0.00299160053307	0.0150389068759
1374.0	2.43591645599E-6	2.24319935371E-4	0.00305566273185	0.0152342977082
1376.0	2.52768591682E-6	2.28169759093E-4	0.00313323060903	0.0154158806979
1378.0	2.56021294392E-6	2.33909846715E-4	0.00322261894045	0.0156082546814
1380.0	2.59504361946E-6	2.38171088935E-4	0.00329983790828	0.0157678795683
1382.0	2.622639538E-6	2.41212333887E-4	0.00338194011495	0.0159256175904
1384.0	2.66218247911E-6	2.45841391217E-4	0.00345639729544	0.0161047315292
1386.0	2.71611830984E-6	2.50316018909E-4	0.00354002618352	0.0162905155099
1388.0	2.75807237738E-6	2.5479945841E-4	0.00361989226246	0.016490023687
1390.0	2.78900011262E-6	2.59478258464E-4	0.00372263453034	0.0167379066309
1392.0	2.83307286104E-6	2.63471978595E-4	0.00381398299505	0.0169307313751
1394.0	2.87370832604E-6	2.67238270822E-4	0.00393177923177	0.0171787695862
1396.0	2.92440311308E-6	2.7135083212E-4	0.00404304673091	0.0174044583195
1398.0	2.99041329743E-6	2.75680716478E-4	0.00413502458043	0.0176314324815
1400.0	3.04478984399E-6	2.80635292004E-4	0.00423023607663	0.0178373552849
1402.0	3.10735272409E-6	2.84814779726E-4	0.00429791104368	0.0180288450256
1404.0	3.18021931591E-6	2.88588204636E-4	0.00439512600677	0.0182141448626
1406.0	3.21548923242E-6	2.9279861469E-4	0.00447909037081	0.0184186286664
1408.0	3.26224724396E-6	2.96856237957E-4	0.00460018109124	0.0186026466707
1410.0	3.31602264087E-6	3.01306623712E-4	0.00470855535913	0.018803937538
1412.0	3.38066160109E-6	3.05296307138E-4	0.00481480693246	0.0190268479187
1414.0	3.43342230891E-6	3.08937953323E-4	0.00489260009432	0.0192441150347
1416.0	3.48243806271E-6	3.12077653312E-4	0.00499053681649	0.019496737706
1418.0	3.52838640298E-6	3.15177021647E-4	0.00507193003697	0.0197530644478
1420.0	3.56643907974E-6	3.18653338975E-4	0.00518485882553	0.0199497878425
1422.0	3.60397381375E-6	3.22909229838E-4	0.0052996842687	0.0201558569711
