# Time[fs]	ED_cav=0.03[aJ]	ED_free=0.03[aJ]	ED_cav=0.06[aJ]	ED_free=0.06[aJ]	ED_cav=0.11[aJ]	ED_free=0.11[aJ]
1170.0	3.57741406953E-5	1.16712690257E-7	0.00824996531119	3.28325418091E-4	0.735541376614	0.802922116921
1172.0	3.6474465522E-5	1.1685630788E-7	0.0083187532686	3.28777614772E-4	0.735760997171	0.802955243735
1174.0	3.74091061489E-5	1.17000045866E-7	0.00840985695235	3.29610059758E-4	0.735910863104	0.803272669729
1176.0	3.80620823034E-5	1.17001590951E-7	0.00848963048985	3.29458256692E-4	0.736194573224	0.803297642362
1178.0	3.85381176473E-5	1.17006504811E-7	0.00861060247637	3.29849296078E-4	0.736699525389	0.803439362828
1180.0	3.89962048576E-5	1.17009510162E-7	0.00871997290818	3.30418002489E-4	0.737450329669	0.803759506368
1182.0	3.93969990721E-5	1.17010567403E-7	0.00888773955299	3.3049601013E-4	0.738283813271	0.806348715034
1184.0	3.97779594055E-5	1.17013197628E-7	0.00908181743296	3.30675739035E-4	0.739109347827	0.806496187845
1186.0	4.02385051351E-5	1.17017070205E-7	0.00926564693827	3.31201624925E-4	0.739826185795	0.80672835468
1188.0	4.09482571425E-5	1.1702095415E-7	0.00938448082281	3.32295830916E-4	0.740478270943	0.806751971926
1190.0	4.1824228649E-5	1.17023462477E-7	0.00945644109565	3.33758833699E-4	0.741042480533	0.80714791298
1192.0	4.26620186184E-5	1.17025502967E-7	0.00949832439569	3.35067601161E-4	0.741405426631	0.807302674142
1194.0	4.34178471194E-5	1.1702601449E-7	0.00956170263558	3.36458909115E-4	0.74171168723	0.807819835336
1196.0	4.42787142713E-5	1.17027375653E-7	0.00962912735112	3.38177476761E-4	0.741917498327	0.807950749255
1198.0	4.48599591756E-5	1.17030550129E-7	0.00970516641303	3.38764685419E-4	0.742318888787	0.808608733018
1200.0	4.54087525394E-5	1.17054905058E-7	0.00980390864204	3.39201468729E-4	0.742909689963	0.808931300432
1202.0	4.58480825406E-5	1.17075703175E-7	0.00993311198219	3.4124610281E-4	0.743965645108	0.809037345855
1204.0	4.61705797994E-5	1.1707859894E-7	0.0101837031091	3.42874178608E-4	0.74506713691	0.809600286064
1206.0	4.64803102732E-5	1.1708811456E-7	0.010374439843	3.4306397339E-4	0.7459933744	0.809925006304
1208.0	4.68897214343E-5	1.17097006396E-7	0.0105706384395	3.42974860815E-4	0.74680058826	0.809972903337
1210.0	4.76646293983E-5	1.1710076082E-7	0.0107124765982	3.43386292523E-4	0.747374811551	0.81010601467
1212.0	4.8546509747E-5	1.17116825898E-7	0.0108022750856	3.44904348246E-4	0.748000615414	0.810152232134
1214.0	4.93156888787E-5	1.17147191437E-7	0.0108925168152	3.45117114198E-4	0.748347127051	0.810163409332
1216.0	5.00275201444E-5	1.17161932055E-7	0.010990615498	3.47442433201E-4	0.748764983221	0.810220968895
1218.0	5.0580569544E-5	1.17163269895E-7	0.0110737572852	3.47125812185E-4	0.748952960981	0.810341698385
1220.0	5.11875222625E-5	1.17168348032E-7	0.011179401986	3.47726677655E-4	0.749503034722	0.810386590783
1222.0	5.16636705913E-5	1.17174836273E-7	0.0112572247768	3.48125129587E-4	0.749982333437	0.810570341647
1224.0	5.20634364074E-5	1.17202656948E-7	0.0113752572443	3.48138038203E-4	0.750655995313	0.810770122731
1226.0	5.24240744286E-5	1.17515464845E-7	0.0116206829125	3.48279183043E-4	0.751379829273	0.811091922448
1228.0	5.27928792033E-5	1.17817287774E-7	0.0117890116551	3.48432033955E-4	0.752159464559	0.811523914869
1230.0	5.31272981596E-5	1.17836420605E-7	0.0119854754133	3.48598318019E-4	0.75283654554	0.811575764443
1232.0	5.36187622644E-5	1.17840366837E-7	0.0121148374015	3.48947089848E-4	0.753394720043	0.811610766417
1234.0	5.44244492347E-5	1.17842787255E-7	0.0122159326623	3.4921630654E-4	0.753897561095	0.811733625935
1236.0	5.51269794815E-5	1.17862935365E-7	0.0122916168269	3.49514765051E-4	0.754148128964	0.812041639962
1238.0	5.58999533631E-5	1.17881029568E-7	0.0123861871728	3.49642651502E-4	0.754568794186	0.812229237122
1240.0	5.65850751552E-5	1.17890707982E-7	0.012472213525	3.50653587753E-4	0.754754010875	0.81245231976
1242.0	5.72948378766E-5	1.17901984397E-7	0.0125398612013	3.52135273585E-4	0.755262551326	0.812587502671
1244.0	5.78454194244E-5	1.1790621143E-7	0.0126127631133	3.52085971023E-4	0.7559448186	0.812661831486
1246.0	5.83708706727E-5	1.17906759361E-7	0.0127303336001	3.53238050144E-4	0.756513351539	0.812965949437
1248.0	5.89249189645E-5	1.1833536997E-7	0.0129652840526	3.5404299515E-4	0.757142795924	0.81376338351
1250.0	5.93347492302E-5	1.18885208742E-7	0.0131590607022	3.54175503313E-4	0.757901158686	0.814371908419
1252.0	5.97543463125E-5	1.1901077912E-7	0.01339804708	3.54160510189E-4	0.758604902125	0.815013666111
1254.0	6.04039238999E-5	1.19149903088E-7	0.0135478524189	3.54246578638E-4	0.759028528082	0.815607717485
1256.0	6.14908672437E-5	1.19285790179E-7	0.0137084746255	3.54765564611E-4	0.759437679477	0.816118329829
1258.0	6.30073565967E-5	1.19287509325E-7	0.0137871748153	3.56725562451E-4	0.759715520037	0.816362042401
1260.0	6.41446451595E-5	1.19302868805E-7	0.0138749947323	3.58960949865E-4	0.76005483153	0.816539495867
